atomic_number,symbol,name,atomic_mass,group,period
1,H,Hydrogen,1.008,1,1
2,He,Helium,4.003,18,1
3,Li,Lithium,6.94,1,2
4,Be,Beryllium,9.012,2,2
5,B,Boron,10.81,13,2
6,C,Carbon,12.011,14,2
7,N,Nitrogen,14.007,15,2
8,O,Oxygen,15.999,16,2
9,F,Fluorine,18.998,17,2
10,Ne,Neon,20.180,18,2
11,Na,Sodium,22.990,1,3
12,Mg,Magnesium,24.305,2,3
13,Al,Aluminium,26.982,13,3
14,Si,Silicon,28.085,14,3
15,P,Phosphorus,30.974,15,3
16,S,Sulfur,32.06,16,3
17,Cl,Chlorine,35.45,17,3
18,Ar,Argon,39.948,18,3
19,K,Potassium,39.098,1,4
20,Ca,Calcium,40.078,2,4
