id,topic,problem,operation,answer
EX001,algebra,"Solve 2*x + 5 = 15",solve_equation,"x = 5"
EX002,algebra,"Solve 3*x - 7 = 11",solve_equation,"x = 6"
EX003,algebra,"Solve x**2 - 5*x + 6 = 0",solve_equation,"x = 2, 3"
EX004,algebra,"Factor x**2 + 5*x + 6",factor,"(x + 2)*(x + 3)"
EX005,algebra,"Expand (x + 2)*(x + 3)",expand,"x**2 + 5*x + 6"
EX006,algebra,"Simplify 3*x + 2*x - 4",simplify,"5*x - 4"
EX007,coordinate_geometry,"Find the distance between (0,0) and (3,4)",formula_application,"5"
EX008,coordinate_geometry,"Find the midpoint of (2,4) and (6,8)",formula_application,"(4,6)"
EX009,coordinate_geometry,"Find the slope between (1,2) and (3,6)",formula_application,"2"
EX010,sequences,"Find the 10th term of AP 2,5,8,...",formula_application,"29"
EX011,sequences,"Find the 5th term of GP 3,6,12,...",formula_application,"48"
EX012,geometry,"Find the area of a triangle with base 10 and height 6",formula_application,"30"
EX013,geometry,"Find the circumference of a circle with radius 7",formula_application,"14*pi"
EX014,statistics,"Find the mean of 2,4,6,8,10",statistical_calculation,"6"
EX015,probability,"A fair die is rolled. Find the probability of getting 4",probability_calculation,"1/6"
EX016,calculus,"Differentiate x**3 + 2*x",differentiate,"3*x**2 + 2"
EX017,calculus,"Integrate 3*x**2",integrate,"x**3 + C"
