quantity,symbol,si_unit,si_symbol
Length,l,metre,m
Mass,m,kilogram,kg
Time,t,second,s
Temperature,T,kelvin,K
Amount of substance,n,mole,mol
Electric current,I,ampere,A
Force,F,newton,N
Energy,E,joule,J
Work,W,joule,J
Power,P,watt,W
Pressure,P,pascal,Pa
Frequency,f,hertz,Hz
Electric charge,Q,coulomb,C
Potential difference,V,volt,V
Resistance,R,ohm,ohm
Velocity,v,metre per second,m/s
Acceleration,a,metre per second squared,m/s^2
Momentum,p,kilogram metre per second,kg*m/s
Density,rho,kilogram per cubic metre,kg/m^3
Wavelength,lambda,metre,m
